"Plot Title: RH logger 1"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 10914497, SEN S/N: 10914497)","RH, % (LGR S/N: 10914497, SEN S/N: 10914497)","Coupler Detached (LGR S/N: 10914497)","Coupler Attached (LGR S/N: 10914497)","Host Connected (LGR S/N: 10914497)","End Of File (LGR S/N: 10914497)"
1,06/21/16 12:50:13 PM,26.256,52.572,,,,
2,06/21/16 12:54:46 PM,,,Logged,,,
3,06/21/16 01:50:13 PM,25.987,51.424,,,,
4,06/21/16 02:50:13 PM,25.939,52.972,,,,
5,06/21/16 03:50:13 PM,25.671,52.491,,,,
6,06/21/16 04:50:13 PM,25.501,52.183,,,,
7,06/21/16 05:50:13 PM,25.404,51.472,,,,
8,06/21/16 06:50:13 PM,25.598,53.272,,,,
9,06/21/16 07:50:13 PM,25.866,53.625,,,,
10,06/21/16 08:50:13 PM,26.085,49.042,,,,
11,06/21/16 09:50:13 PM,25.768,47.009,,,,
12,06/21/16 10:50:13 PM,25.793,48.940,,,,
13,06/21/16 11:50:13 PM,25.623,55.321,,,,
14,06/22/16 12:50:13 AM,25.404,57.477,,,,
15,06/22/16 01:50:13 AM,25.258,58.388,,,,
16,06/22/16 02:50:13 AM,25.162,58.900,,,,
17,06/22/16 03:50:13 AM,25.137,59.174,,,,
18,06/22/16 04:50:13 AM,24.992,59.523,,,,
19,06/22/16 05:50:13 AM,24.992,59.585,,,,
20,06/22/16 06:50:13 AM,24.968,60.383,,,,
21,06/22/16 07:50:13 AM,25.040,60.763,,,,
22,06/22/16 08:50:13 AM,25.040,60.702,,,,
23,06/22/16 09:42:01 AM,,,,Logged,,
24,06/22/16 09:42:10 AM,,,,,Logged,
25,06/22/16 09:43:29 AM,,,Logged,,,
26,06/22/16 09:50:13 AM,26.451,59.067,,,,
27,06/22/16 10:50:13 AM,25.623,61.164,,,,
28,06/22/16 11:50:13 AM,25.793,60.914,,,,
29,06/22/16 12:50:13 PM,26.085,60.405,,,,
30,06/22/16 01:50:13 PM,26.426,59.870,,,,
31,06/22/16 02:50:13 PM,26.598,59.090,,,,
32,06/22/16 03:50:13 PM,26.720,57.706,,,,
33,06/22/16 04:50:13 PM,26.769,56.336,,,,
34,06/22/16 05:50:13 PM,26.769,54.983,,,,
35,06/22/16 06:50:13 PM,26.695,54.058,,,,
36,06/22/16 07:50:13 PM,26.500,53.461,,,,
37,06/22/16 08:50:13 PM,26.207,52.882,,,,
38,06/22/16 09:50:13 PM,25.914,52.398,,,,
39,06/22/16 10:50:13 PM,25.623,52.073,,,,
40,06/22/16 11:50:13 PM,25.331,51.684,,,,
41,06/23/16 12:50:13 AM,25.113,51.211,,,,
42,06/23/16 01:50:13 AM,25.040,51.328,,,,
43,06/23/16 02:50:13 AM,24.992,51.575,,,,
44,06/23/16 03:50:13 AM,25.016,52.085,,,,
45,06/23/16 04:50:13 AM,25.065,53.103,,,,
46,06/23/16 05:50:13 AM,24.992,53.187,,,,
47,06/23/16 06:50:13 AM,25.162,54.156,,,,
48,06/23/16 07:50:13 AM,25.331,54.871,,,,
49,06/23/16 08:50:13 AM,25.525,55.684,,,,
50,06/23/16 09:50:13 AM,25.744,56.029,,,,
51,06/23/16 10:50:13 AM,25.939,56.214,,,,
52,06/23/16 11:50:13 AM,26.280,56.483,,,,
53,06/23/16 12:50:13 PM,26.500,56.359,,,,
54,06/23/16 01:50:13 PM,26.622,55.781,,,,
55,06/23/16 02:50:13 PM,26.671,55.127,,,,
56,06/23/16 03:50:13 PM,26.720,54.693,,,,
57,06/23/16 04:50:13 PM,26.989,54.573,,,,
58,06/23/16 05:50:13 PM,27.136,53.930,,,,
59,06/23/16 06:50:13 PM,26.940,52.602,,,,
60,06/23/16 07:50:13 PM,27.136,48.244,,,,
61,06/23/16 08:50:13 PM,30.621,60.744,,,,
62,06/23/16 09:50:13 PM,32.278,57.590,,,,
63,06/23/16 10:50:13 PM,31.612,60.019,,,,
64,06/23/16 11:50:13 PM,31.026,62.121,,,,
65,06/24/16 12:50:13 AM,30.495,61.474,,,,
66,06/24/16 01:50:13 AM,29.890,62.592,,,,
67,06/24/16 02:50:13 AM,29.365,64.237,,,,
68,06/24/16 03:50:13 AM,28.891,66.336,,,,
69,06/24/16 04:50:13 AM,28.419,68.323,,,,
70,06/24/16 05:50:13 AM,28.097,70.558,,,,
71,06/24/16 06:50:13 AM,27.751,71.393,,,,
72,06/24/16 07:50:13 AM,27.628,69.901,,,,
73,06/24/16 08:50:13 AM,27.825,68.641,,,,
74,06/24/16 09:50:13 AM,28.245,67.595,,,,
75,06/24/16 10:50:13 AM,29.065,67.221,,,,
76,06/24/16 11:50:13 AM,30.495,63.590,,,,
77,06/24/16 12:50:13 PM,32.227,57.551,,,,
78,06/24/16 01:50:13 PM,33.704,53.273,,,,
79,06/24/16 02:50:13 PM,34.810,49.903,,,,
80,06/24/16 03:50:13 PM,35.636,45.380,,,,
81,06/24/16 04:50:13 PM,36.227,45.782,,,,
82,06/24/16 05:50:13 PM,36.444,44.204,,,,
83,06/24/16 06:50:13 PM,36.012,45.357,,,,
84,06/24/16 07:50:13 PM,35.262,47.193,,,,
85,06/24/16 08:50:13 PM,34.045,49.347,,,,
86,06/24/16 09:50:13 PM,32.768,51.981,,,,
87,06/24/16 10:50:13 PM,31.663,53.380,,,,
88,06/24/16 11:50:13 PM,30.722,54.594,,,,
89,06/25/16 12:50:13 AM,29.865,58.053,,,,
90,06/25/16 01:50:13 AM,29.165,60.329,,,,
91,06/25/16 02:50:13 AM,28.617,63.374,,,,
92,06/25/16 03:50:13 AM,28.320,66.482,,,,
93,06/25/16 04:50:13 AM,28.023,67.980,,,,
94,06/25/16 05:50:13 AM,27.702,69.072,,,,
95,06/25/16 06:50:13 AM,27.358,70.632,,,,
96,06/25/16 07:50:13 AM,27.308,71.251,,,,
97,06/25/16 08:50:13 AM,27.628,71.520,,,,
98,06/25/16 09:50:13 AM,28.270,70.710,,,,
99,06/25/16 10:50:13 AM,29.140,66.959,,,,
100,06/25/16 11:50:13 AM,30.343,64.184,,,,
101,06/25/16 12:50:13 PM,32.073,59.365,,,,
102,06/25/16 01:50:13 PM,33.887,52.877,,,,
103,06/25/16 02:50:13 PM,35.049,48.784,,,,
104,06/25/16 03:50:13 PM,35.823,43.532,,,,
105,06/25/16 04:50:13 PM,36.606,44.022,,,,
106,06/25/16 05:50:13 PM,36.851,40.275,,,,
107,06/25/16 06:50:13 PM,36.525,40.342,,,,
108,06/25/16 07:50:13 PM,35.475,47.219,,,,
109,06/25/16 08:50:13 PM,34.097,50.890,,,,
110,06/25/16 09:50:13 PM,33.053,54.923,,,,
111,06/25/16 10:50:13 PM,32.253,55.834,,,,
112,06/25/16 11:50:13 PM,31.459,56.484,,,,
113,06/26/16 12:50:13 AM,30.697,58.462,,,,
114,06/26/16 01:50:13 AM,30.041,61.215,,,,
115,06/26/16 02:50:13 AM,29.515,63.830,,,,
116,06/26/16 03:50:13 AM,29.040,65.137,,,,
117,06/26/16 04:50:13 AM,28.692,67.217,,,,
118,06/26/16 05:50:13 AM,28.345,68.643,,,,
119,06/26/16 06:50:13 AM,28.072,69.952,,,,
120,06/26/16 07:50:13 AM,27.899,72.078,,,,
121,06/26/16 08:50:13 AM,28.072,69.862,,,,
122,06/26/16 09:50:13 AM,28.568,67.773,,,,
123,06/26/16 10:50:13 AM,29.365,62.661,,,,
124,06/26/16 11:50:13 AM,30.571,64.809,,,,
125,06/26/16 12:50:13 PM,31.561,65.067,,,,
126,06/26/16 01:50:13 PM,31.944,64.263,,,,
127,06/26/16 02:50:13 PM,32.433,60.524,,,,
128,06/26/16 03:50:13 PM,33.105,52.350,,,,
129,06/26/16 04:50:13 PM,33.600,51.670,,,,
130,06/26/16 05:50:13 PM,33.157,51.449,,,,
131,06/26/16 06:50:13 PM,32.691,53.005,,,,
132,06/26/16 07:50:13 PM,32.124,54.407,,,,
133,06/26/16 08:50:13 PM,31.357,55.833,,,,
134,06/26/16 09:50:13 PM,30.646,58.234,,,,
135,06/26/16 10:50:13 PM,29.916,61.039,,,,
136,06/26/16 11:50:13 PM,29.290,62.742,,,,
137,06/27/16 12:50:13 AM,28.766,64.507,,,,
138,06/27/16 01:50:13 AM,28.270,67.174,,,,
139,06/27/16 02:50:13 AM,27.825,68.188,,,,
140,06/27/16 03:50:13 AM,27.431,69.805,,,,
141,06/27/16 04:50:13 AM,27.063,71.504,,,,
142,06/27/16 05:50:13 AM,26.720,72.154,,,,
143,06/27/16 06:50:13 AM,26.451,72.786,,,,
144,06/27/16 07:50:13 AM,26.353,74.009,,,,
145,06/27/16 08:50:13 AM,26.549,73.751,,,,
146,06/27/16 09:50:13 AM,27.235,73.883,,,,
147,06/27/16 10:50:13 AM,28.444,73.819,,,,
148,06/27/16 11:50:13 AM,30.192,64.159,,,,
149,06/27/16 12:50:13 PM,31.689,60.063,,,,
150,06/27/16 01:50:13 PM,33.053,52.893,,,,
151,06/27/16 02:50:13 PM,33.495,51.851,,,,
152,06/27/16 03:50:13 PM,34.995,46.797,,,,
153,06/27/16 04:50:13 PM,35.182,47.845,,,,
154,06/27/16 05:50:13 PM,31.740,57.098,,,,
155,06/27/16 06:50:13 PM,30.318,62.567,,,,
156,06/27/16 07:50:13 PM,30.167,66.984,,,,
157,06/27/16 08:50:13 PM,29.615,65.449,,,,
158,06/27/16 09:50:13 PM,29.040,67.795,,,,
159,06/27/16 10:50:13 PM,28.617,70.833,,,,
160,06/27/16 11:50:13 PM,28.394,71.872,,,,
161,06/28/16 12:50:13 AM,28.196,72.492,,,,
162,06/28/16 01:50:13 AM,27.949,74.080,,,,
163,06/28/16 02:50:13 AM,27.702,74.506,,,,
164,06/28/16 03:50:13 AM,27.333,75.496,,,,
165,06/28/16 04:50:13 AM,26.940,75.331,,,,
166,06/28/16 05:50:13 AM,26.622,76.528,,,,
167,06/28/16 06:50:13 AM,26.402,76.893,,,,
168,06/28/16 07:50:13 AM,26.158,77.572,,,,
169,06/28/16 08:50:13 AM,26.475,76.937,,,,
170,06/28/16 09:50:13 AM,27.161,76.695,,,,
171,06/28/16 10:50:13 AM,28.295,75.272,,,,
172,06/28/16 11:50:13 AM,29.740,68.740,,,,
173,06/28/16 12:50:13 PM,31.459,65.205,,,,
174,06/28/16 01:50:13 PM,32.227,58.344,,,,
175,06/28/16 02:50:13 PM,33.079,53.897,,,,
176,06/28/16 03:50:13 PM,34.071,50.233,,,,
177,06/28/16 04:50:13 PM,33.966,53.826,,,,
178,06/28/16 05:50:13 PM,31.740,62.329,,,,
179,06/28/16 06:50:13 PM,29.665,68.908,,,,
180,06/28/16 07:50:13 PM,29.340,74.200,,,,
181,06/28/16 08:50:13 PM,29.015,76.153,,,,
182,06/28/16 09:50:13 PM,28.717,78.531,,,,
183,06/28/16 10:50:13 PM,28.468,79.559,,,,
184,06/28/16 11:50:13 PM,28.171,80.832,,,,
185,06/29/16 12:50:13 AM,27.949,81.045,,,,
186,06/29/16 01:50:13 AM,27.628,80.428,,,,
187,06/29/16 02:50:13 AM,27.358,81.265,,,,
188,06/29/16 03:50:13 AM,27.063,81.605,,,,
189,06/29/16 04:50:13 AM,26.769,81.456,,,,
190,06/29/16 05:50:13 AM,26.524,82.091,,,,
191,06/29/16 06:50:13 AM,26.329,82.164,,,,
192,06/29/16 07:50:13 AM,26.256,82.376,,,,
193,06/29/16 08:50:13 AM,26.451,81.818,,,,
194,06/29/16 09:50:13 AM,26.965,82.014,,,,
195,06/29/16 10:50:13 AM,27.924,79.272,,,,
196,06/29/16 11:50:13 AM,28.941,73.528,,,,
197,06/29/16 12:50:13 PM,30.394,68.582,,,,
198,06/29/16 01:50:13 PM,31.816,61.559,,,,
199,06/29/16 02:50:13 PM,32.794,54.501,,,,
200,06/29/16 03:50:13 PM,33.548,51.956,,,,
201,06/29/16 04:50:13 PM,33.783,51.792,,,,
202,06/29/16 05:50:13 PM,33.783,52.117,,,,
203,06/29/16 06:50:13 PM,33.783,52.182,,,,
204,06/29/16 07:50:13 PM,33.001,54.337,,,,
205,06/29/16 08:50:13 PM,31.970,58.781,,,,
206,06/29/16 09:50:13 PM,31.001,61.711,,,,
207,06/29/16 10:50:13 PM,30.167,64.556,,,,
208,06/29/16 11:50:13 PM,29.389,67.277,,,,
209,06/30/16 12:50:13 AM,28.791,69.328,,,,
210,06/30/16 01:50:13 AM,28.295,71.674,,,,
211,06/30/16 02:50:13 AM,27.875,73.710,,,,
212,06/30/16 03:50:13 AM,27.579,74.896,,,,
213,06/30/16 04:50:13 AM,27.284,75.780,,,,
214,06/30/16 05:50:13 AM,27.087,77.206,,,,
215,06/30/16 06:50:13 AM,26.891,77.954,,,,
216,06/30/16 07:50:13 AM,26.769,79.091,,,,
217,06/30/16 08:50:13 AM,26.891,76.465,,,,
218,06/30/16 09:50:13 AM,27.407,76.597,,,,
219,06/30/16 10:50:13 AM,28.295,74.947,,,,
220,06/30/16 11:50:13 AM,28.245,74.641,,,,
221,06/30/16 12:50:13 PM,28.742,77.335,,,,
222,06/30/16 01:50:13 PM,29.040,75.181,,,,
223,06/30/16 02:50:13 PM,29.590,72.605,,,,
224,06/30/16 03:50:13 PM,29.665,69.878,,,,
225,06/30/16 04:50:13 PM,29.740,69.529,,,,
226,06/30/16 05:50:13 PM,30.722,65.698,,,,
227,06/30/16 06:50:13 PM,30.444,67.430,,,,
228,06/30/16 07:50:13 PM,29.991,68.967,,,,
229,06/30/16 08:50:13 PM,29.615,72.639,,,,
230,06/30/16 09:50:13 PM,29.065,73.074,,,,
231,06/30/16 10:50:13 PM,28.617,73.823,,,,
232,06/30/16 11:50:13 PM,28.171,74.953,,,,
233,07/01/16 12:50:13 AM,27.776,76.231,,,,
234,07/01/16 01:50:13 AM,27.358,76.588,,,,
235,07/01/16 02:50:13 AM,26.940,77.031,,,,
236,07/01/16 03:50:13 AM,26.573,77.656,,,,
237,07/01/16 04:50:13 AM,26.280,78.178,,,,
238,07/01/16 05:50:13 AM,26.036,78.823,,,,
239,07/01/16 06:50:13 AM,25.866,78.903,,,,
240,07/01/16 07:50:13 AM,25.866,79.798,,,,
241,07/01/16 08:50:13 AM,26.207,79.927,,,,
242,07/01/16 09:50:13 AM,26.989,80.467,,,,
243,07/01/16 10:50:13 AM,27.998,79.636,,,,
244,07/01/16 11:50:13 AM,28.990,77.444,,,,
245,07/01/16 12:50:13 PM,30.041,73.528,,,,
246,07/01/16 01:50:13 PM,29.040,72.352,,,,
247,07/01/16 02:50:13 PM,28.196,78.132,,,,
248,07/01/16 03:50:13 PM,28.941,79.715,,,,
249,07/01/16 04:50:13 PM,30.167,72.893,,,,
250,07/01/16 05:50:13 PM,30.621,69.991,,,,
251,07/01/16 06:50:13 PM,30.520,71.485,,,,
252,07/01/16 07:50:13 PM,30.041,71.065,,,,
253,07/01/16 08:50:13 PM,29.490,71.926,,,,
254,07/01/16 09:50:13 PM,28.990,73.835,,,,
255,07/01/16 10:50:13 PM,28.543,74.195,,,,
256,07/01/16 11:50:13 PM,28.221,75.966,,,,
257,07/02/16 12:50:13 AM,27.899,77.282,,,,
258,07/02/16 01:50:13 AM,27.579,78.415,,,,
259,07/02/16 02:50:13 AM,27.259,78.408,,,,
260,07/02/16 03:50:13 AM,26.940,78.400,,,,
261,07/02/16 04:50:13 AM,26.622,78.625,,,,
262,07/02/16 05:50:13 AM,26.426,79.135,,,,
263,07/02/16 06:50:13 AM,26.207,80.417,,,,
264,07/02/16 07:50:13 AM,26.207,80.561,,,,
265,07/02/16 08:50:13 AM,26.500,81.111,,,,
266,07/02/16 09:50:13 AM,27.431,82.402,,,,
267,07/02/16 10:50:13 AM,27.407,83.655,,,,
268,07/02/16 11:50:13 AM,27.530,85.332,,,,
269,07/02/16 12:50:13 PM,27.407,84.424,,,,
270,07/02/16 01:50:13 PM,28.048,82.994,,,,
271,07/02/16 02:50:13 PM,29.040,80.289,,,,
272,07/02/16 03:50:13 PM,30.016,75.491,,,,
273,07/02/16 04:50:13 PM,30.571,72.308,,,,
274,07/02/16 05:50:13 PM,31.001,70.999,,,,
275,07/02/16 06:50:13 PM,31.001,70.636,,,,
276,07/02/16 07:50:13 PM,30.545,67.937,,,,
